"","value","count","lc20_bps_220","lc24_s_cla_250","s_usa_polygon_to_raster","bps_model","bps_name","groupveg","fri_replac","fri_mixed","fri_surfac","fri_allfir","label","region","forestname","raw_acres"
"1",2906,1473229,11,111,47,"0","Open Water","Open Water",0,0,0,0,"Water",9,"Superior National Forest",327638
"2",2907,807779,1598,6,47,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,0,76,"UN",9,"Superior National Forest",179646
"3",2908,500484,1598,1,47,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,0,76,"A",9,"Superior National Forest",111305
"4",2909,4091,1613,2,47,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,0,0,18,"B",9,"Superior National Forest",910
"5",2910,5836179,1598,2,47,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,0,76,"B",9,"Superior National Forest",1297934
"6",2911,1597389,1593,3,47,"13440_41","Boreal Jack Pine-Black Spruce Forest","Conifer",82,0,0,82,"C",9,"Superior National Forest",355251
"7",2912,1118225,1608,4,47,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"D",9,"Superior National Forest",248687
"8",2913,777273,1608,3,47,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"C",9,"Superior National Forest",172861
"9",2914,7354,1613,4,47,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,0,0,18,"D",9,"Superior National Forest",1635
"10",2915,187617,1598,7,47,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,0,76,"UE",9,"Superior National Forest",41725
"11",2916,24651,1608,7,47,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"UE",9,"Superior National Forest",5482
"12",2917,772965,1593,5,47,"13440_41","Boreal Jack Pine-Black Spruce Forest","Conifer",82,0,0,82,"E",9,"Superior National Forest",171903
"13",2918,132991,1598,120,47,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,0,76,"Developed",9,"Superior National Forest",29576
"14",2919,116173,2724,2,47,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Hardwood-Conifer",230,0,40,34,"B",9,"Superior National Forest",25836
"15",2920,244352,1610,4,47,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,0,0,989,"D",9,"Superior National Forest",54343
"16",2921,104263,1593,1,47,"13440_41","Boreal Jack Pine-Black Spruce Forest","Conifer",82,0,0,82,"A",9,"Superior National Forest",23188
"17",2922,70556,1608,2,47,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"B",9,"Superior National Forest",15691
"18",2923,45122,1593,6,47,"13440_41","Boreal Jack Pine-Black Spruce Forest","Conifer",82,0,0,82,"UN",9,"Superior National Forest",10035
"19",2924,21876,1610,2,47,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,0,0,989,"B",9,"Superior National Forest",4865
"20",2925,7824,2724,1,47,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Hardwood-Conifer",230,0,40,34,"A",9,"Superior National Forest",1740
"21",2926,566732,1602,3,47,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,"C",9,"Superior National Forest",126038
"22",2927,30019,1610,1,47,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,0,0,989,"A",9,"Superior National Forest",6676
"23",2928,74254,1593,7,47,"13440_41","Boreal Jack Pine-Black Spruce Forest","Conifer",82,0,0,82,"UE",9,"Superior National Forest",16514
"24",2929,11110,1610,3,47,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,0,0,989,"C",9,"Superior National Forest",2471
"25",2930,48866,1613,6,47,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,0,0,18,"UN",9,"Superior National Forest",10868
"26",2931,43388,1608,6,47,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"UN",9,"Superior National Forest",9649
"27",2932,3168,1613,7,47,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,0,0,18,"UE",9,"Superior National Forest",705
"28",2933,15797,1598,180,47,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,0,76,"Agriculture",9,"Superior National Forest",3513
"29",2934,738,1613,120,47,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,0,0,18,"Developed",9,"Superior National Forest",164
